accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
1.000, -0.085, -0.123, 21.240, 10.071, 4.395
0.981, 0.189, -0.222, -8.179, 2.930, 27.649
0.908, 0.207, -0.218, -42.908, 3.418, 5.249
0.907, 0.265, -0.201, -34.424, -8.057, -7.141
1.074, 0.182, -0.203, -5.249, -3.479, -23.254
0.916, -0.151, -0.259, 5.676, 11.597, -16.296
0.955, -0.147, -0.283, 20.447, -5.371, -2.380
0.952, -0.144, -0.234, 14.404, -12.634, 0.671
0.924, -0.062, -0.157, 31.067, -2.502, 3.174
1.253, 0.138, -0.112, 18.555, 9.888, 9.460
1.001, 0.181, -0.139, 23.926, -3.845, 2.075
0.938, 0.107, -0.147, 27.466, -1.587, -6.775
0.823, -0.051, -0.163, 17.456, 22.888, -10.803
0.969, -0.058, -0.126, 6.775, 4.578, -2.502
0.937, -0.035, -0.091, -12.085, 3.357, -2.075
0.951, -0.048, -0.106, 0.916, -1.343, 2.747
1.083, 0.000, -0.208, 4.944, -7.202, 12.817
1.104, 0.113, -0.238, 6.714, 9.033, 7.874
0.926, 0.169, -0.176, -9.277, 6.348, 0.977
0.966, 0.068, -0.150, -24.780, -10.742, -4.517
0.845, -0.124, -0.282, -38.879, 5.127, -3.723
0.942, -0.112, -0.233, -39.001, 9.399, -1.709
0.943, -0.160, -0.232, -13.306, 2.991, 3.845
0.987, -0.126, -0.251, -30.273, -14.954, 16.602
0.866, 0.090, -0.333, -55.237, 7.751, 14.832
0.899, 0.111, -0.318, -121.582, -8.423, 14.404
0.834, -0.144, -0.199, -138.367, 2.930, 3.357
0.924, -0.077, -0.072, -80.261, -9.338, 17.761
0.966, -0.074, -0.117, -66.467, -4.700, 14.404
0.832, 0.056, -0.237, -37.659, 7.690, 18.555
0.839, 0.150, -0.188, -26.855, 3.784, 13.428
0.907, 0.184, -0.202, -16.418, 2.197, 1.038
1.097, 0.115, -0.216, 15.076, -20.020, -18.921
0.993, 0.100, -0.164, 53.101, -5.676, -13.062
0.962, 0.118, -0.217, 120.361, 11.841, -14.526
0.948, 0.150, -0.229, 177.551, 20.142, 6.592
0.930, 0.437, -0.207, 123.596, 34.729, -10.315
0.913, 0.320, -0.150, 116.760, 26.978, -21.790
0.927, 0.126, -0.123, 70.251, 2.686, -19.653
0.935, 0.149, -0.144, 22.705, -2.869, -5.066
0.995, 0.033, -0.103, 27.832, 10.986, -8.362
0.964, 0.035, -0.098, 23.804, 17.212, -3.174
0.984, -0.018, -0.127, 24.231, -9.277, 4.639
1.030, 0.159, -0.152, 5.798, -9.216, 7.812
1.019, 0.146, -0.172, -14.709, 4.028, -0.488
0.939, 0.165, -0.114, -64.026, -3.052, 0.366
0.990, 0.079, -0.114, -95.398, -18.677, -12.146
0.925, -0.118, -0.153, -116.821, 1.099, 0.122
0.998, -0.131, -0.150, -125.732, 8.057, 12.207
1.003, -0.107, -0.102, -91.919, -7.202, 18.311
0.969, 0.083, -0.071, -88.379, -6.470, 12.329
0.940, 0.124, -0.099, -78.796, -7.019, -5.859
0.930, 0.095, -0.049, -50.171, 3.357, 7.446
0.931, 0.059, -0.037, -32.410, 8.606, 4.822
1.008, 0.069, -0.063, -37.415, -12.939, -8.972
0.951, 0.094, -0.069, -15.198, 0.732, -8.301
0.975, -0.116, -0.067, -3.296, 3.479, -8.667
0.963, -0.065, -0.057, 45.654, 7.874, -0.183
1.007, -0.001, -0.071, 103.455, 2.869, 7.385
0.879, 0.210, -0.217, 128.906, 28.503, 0.854
0.980, 0.242, -0.172, 103.638, 13.123, -3.235
0.916, 0.246, -0.116, 99.548, 5.798, -4.150
1.054, 0.181, -0.140, 89.539, 12.085, -13.306
1.054, 0.180, -0.075, 61.462, 13.062, -4.517
1.005, 0.049, -0.124, 59.265, 6.836, -9.583
0.955, 0.020, -0.096, 53.894, 6.836, -4.150
0.971, 0.129, -0.140, 57.617, 13.733, 1.587
0.942, 0.267, -0.207, 56.458, 34.668, 1.099
0.922, 0.269, -0.279, 51.758, 16.235, -5.615
0.882, 0.248, -0.273, 29.480, -1.465, -17.334
1.112, 0.118, -0.189, 32.288, 13.611, -0.305
0.937, 0.058, -0.089, 10.681, -3.540, -10.254
0.947, 0.003, -0.075, 1.709, 3.784, 0.671
1.032, 0.113, -0.170, -21.118, -10.620, 19.043
0.701, 0.114, -0.277, -50.964, -17.090, 1.038
0.935, 0.195, -0.179, -60.547, -7.935, 2.625
0.953, 0.137, -0.191, -78.918, -4.456, 5.737
1.027, 0.101, -0.251, -92.102, -24.719, 2.930
1.131, 0.020, -0.185, -111.206, -6.775, 13.123
0.953, -0.018, -0.104, -82.275, -12.573, 16.663
1.074, 0.146, -0.183, -50.964, -7.629, 16.724
1.043, 0.117, -0.190, -66.895, -3.052, -9.521
0.954, 0.112, -0.147, -95.947, -7.446, -2.441
1.067, 0.023, -0.023, -87.280, -15.320, 0.488
0.992, -0.076, -0.055, -31.677, 9.460, 4.395
0.979, -0.057, -0.026, -5.981, -0.122, -3.479
0.964, -0.129, -0.023, 23.743, -2.563, -6.897
1.006, -0.128, -0.122, 41.504, -5.310, -9.338
0.961, -0.075, -0.075, 17.883, -4.944, -19.531
0.998, -0.134, -0.107, 16.724, 3.662, -15.076
